id,article_label,article_text,language
1,Ingingo ya 1: Icyo iri tegeko rigamije,Iri tegeko riteganya: 1º amahame rusange agenga ibyaha n'ibihano; 2º ibyaha n'ibihano muri rusange.,rw
2,Article 1: Purpose of this Law,This Law sets out: 1º general principles governing offences and penalties; 2º offences and penalties in general.,en
3,Article 1: Objet de la présente loi,La présente loi prévoit : 1º les principes généraux régissant les infractions et les peines ; 2º les infractions et les peines en général.,fr
4,Ingingo ya 2: Ibisobanuro by'amagambo,"Muri iri tegeko, amagambo akurikira afite ibisobanuro bikurikira: 1º icyaha: igikorwa kibujijwe n'itegeko cyangwa kwanga gukora igitegetswe ku buryo bihungabanya umutekano mu bantu kandi hari itegeko ribiteganyiriza igihano; 2º Ifasi y'Igihugu cy'u Rwanda: ubusesure bw'ubutaka, imigezi, inzuzi, ibiyaga n'ikirere bya Repubulika y'u Rwanda kugeza ku mbibi zayo na za Ambasade z'u Rwanda mu bindi bihugu; 3º uwakoze icyaha: uwakoze igikorwa gihanwa n'itegeko cyangwa uwanze gukora igikorwa gitegetswe n'itegeko; 4º umufatanyacyaha: uwafatanyije ku buryo butaziguye n'uwakoze icyaha; 5º icyitso: umuntu wafashije uwakoze icyaha mu byagiteguye bigaragarira muri kimwe mu bikorwa bikurikira: a) utuma hakorwa icyaha akoresheje igihembo, isezerano ry'igihembo, iterabwoba, agakabyo k'ubutegetsi cyangwa k'ububasha cyangwa amabwiriza agamije gukoresha icyaha; b) ufasha uwakoze icyaha mu byagiteguye, mu byoroheje imikorere yacyo cyangwa mu byakinonosoye kandi yarabikoze abizi, cyangwa uwashishikaje uwakoze icyaha; c) utuma undi akora icyaha akoresheje imbwirwaruhame, urusaku rushishikaza cyangwa iterabwoba, bibereye ahantu hateraniye abantu barenze babiri (2), inyandiko, ibitabo cyangwa ibindi byanditswe n'icapiro, biguzwe cyangwa bitangiwe ubuntu cyangwa byatangarijwe ahantu hateraniye abantu benshi, amatangazo amanitse cyangwa yeretswe rubanda; d) uwahishe uwakoze icyaha, umufatanyacyaha cyangwa uwahishe icyitso kugira ngo ataboneka cyangwa adafatwa, umufasha kwihisha cyangwa gucika cyangwa umuha aho kwihisha cyangwa uwamufashije guhisha ibintu byakoreshejwe cyangwa byagenewe gukoreshwa icyaha; e) uwahishe abizi ikintu cyangwa ibikoresho byakoreshejwe cyangwa byagenewe gukoresha icyaha; f) uwiba, uhisha cyangwa wonona nkana ku buryo ubwo aribwo bwose ibintu byagombye gufasha kugenza icyaha, gutahura ibimenyetso cyangwa guhana abakoze icyaha; 6º kugambirira icyaha: umugambi umuntu yiyemeje mbere yo gukora icyaha; 7º gutega igico: gutegera umuntu ahantu hamwe cyangwa henshi ugambiriye kumwica cyangwa kumugirira nabi; 8º umwana: umuntu utarageza ku myaka cumi n'umunani (18) y'amavuko; 9º uruhame: ahantu hateraniye abantu barenze babiri (2). Ibintu bitangajwe kuri interineti, ku rubuga nkoranyambaga, mu bitangazamakuru cyangwa byohererejwe undi nabyo bifatwa nk'ibikorewe mu ruhame.",rw
5,Article 2: Definitions,"For the purposes of this Law, the following terms are defined as follows: 1º offence: an act or omission that breaches public order and which is punishable by law; 2º territory of Rwanda: the land, streams, rivers, lakes and air space within the boundaries of the Republic of Rwanda and Rwandan Embassies in other countries; 3º offender: a person who commits an act punishable by law or omits to perform an act required by law; 4º co-offender: a person who directly cooperates with the offender in the commission of an offence; 5º accomplice: a person having aided the offender in the means of preparing the offence through any of the following acts; a) a person who, by means of remuneration, promise, threat, abuse of authority or power has caused an offence or given instructions for the commission thereof; b) a person who knowingly aids or abets the offender in the means of preparing, facilitating or committing the offence or incites the offender; c) a person who causes another to commit an offence by uttering speeches, inciting cries or threats in a place where more than two (2) persons gather, or by means of writings, books or other printed texts that are purchased or distributed free of charge or displayed in public places, posters or notices visible to the public; d) a person who harbours an offender or a co-offender or an accomplice to make it impossible to find or arrest him/her, helps him/her hide or escape or provides him/her with a hiding place or facilitates him/her to conceal objects used or intended for use in the commission of an offence; e) a person, who knowingly, conceals an object or other equipment used or intended for use in the commission of an offence; f) a person who steals, conceals or deliberately destroys in any way objects that may be used in offence investigation, discovery of evidence or punishment of offenders; 6º premeditation: an intent formulated by a person before the commission of an offence; 7º ambush: an act of waiting in one or more places for an individual with intent to inflict death or commit any act of violence upon such an individual; 8º child: a person under the age of eighteen (18); 9º public: a place where more than two (2) persons gather. The content posted on the internet, on a social media or published in media or sent to another person is regarded as being disclosed in public.",en
6,Article 2: Définitions,"Aux fins de la présente loi, les termes repris ci-après ont les significations suivantes : 1º infraction: acte ou omission portant atteinte à l'ordre public et punissable par la loi ; 2º territoire du Rwanda: espace terrestre, rivière, fluvial, lacustre et aérien situé à l'intérieur des frontières de la République du Rwanda et les Ambassades du Rwanda dans d'autres pays; 3º auteur: celui qui commet un acte punissable par la loi ou omet d'accomplir un acte prescrit par la loi; 4º coauteur: celui qui collabore directement avec l'auteur dans la commission d'une infraction; 5º complice: celui qui a aidé l'auteur de l'infraction dans les faits qui l'ont préparée au moyen de l'un des actes suivants: a) celui qui, par rémunération, promesse, menace, abus d'autorité ou de pouvoir provoque à une infraction ou donne des instructions pour la commettre ; b) celui qui, avec connaissance, a aidé ou assisté l'auteur d'une infraction dans les faits qui l'ont préparée, facilitée ou dans ceux qui l'ont consommée ou celui qui a incité l'auteur de l'infraction; c) celui qui provoque une autre personne à commettre une infraction, soit par des discours, cris incitatifs ou menaces proférés dans un lieu où plus de deux (2) personnes sont réunies, soit par des écrits, des livres ou autres imprimés, mis en vente ou distribués gratuitement ou exposés dans des lieux publics, soit par des placards ou des affiches exposées au regard du public; d) celui qui cache soit l'auteur, soit le coauteur, soit le complice afin qu'il ne soit pas retrouvé ou appréhendé, celui qui l'aide à se cacher ou à s'échapper ou qui lui fournit une cachette ou celui qui lui facilite le recel des objets utilisés ou destinés à être utilisés pour commettre une infraction; e) celui qui cache sciemment un objet ou un matériel utilisé ou destiné à être utilisé pour commettre une infraction; f) celui qui vole, cache ou endommage intentionnellement et de quelque manière que ce soit les objets qui devraient servir dans l'enquête sur l'infraction, dans la découverte de preuves ou pour sanctionner les auteurs; 6º préméditation: dessein formé par une personne avant l'action de commettre une infraction; 7º guet-apens: fait d'attendre dans un ou divers lieux, un individu avec l'intention de lui donner la mort ou d'exercer sur lui un acte de violence; 8º enfant: une personne de moins de dix-huit (18) ans ; 9º public : lieu où plus de deux (2) personnes sont rassemblées. Le contenu publié sur internet, sur les réseaux sociaux, dans les médias ou envoyé à autrui, est considéré comme étant communiqué en public.",fr
7,Ingingo ya 3: Nta gihano hatari itegeko,Nta muntu ushobora guhanwa kubera gukora ikibujijwe cyangwa kwanga gukora igitegetswe bitari icyaha hakurikijwe amategeko y'igihugu cyangwa mpuzamahanga mu gihe byakorwaga. Nta muntu ushobora guhanishwa igihano kiruta icyari giteganyijwe n'itegeko mu gihe icyaha cyakorwaga. Nta cyaha gihanishwa igihano kitari giteganyijwe n'itegeko ryatangajwe mbere y'uko gikorwa.,rw
8,Article 3: No punishment without law,No one can be held guilty of an offence on account of any act or omission which did not constitute an offence under national or international law at the time when it was committed. A heavier penalty may not be imposed than the one that was applicable at the time the offence was committed. No offence is punished by a penalty which was not provided for by law before the offence was committed.,en
9,Article 3: Pas de peine sans loi,"Nul ne peut être condamné pour une action ou omission qui, au moment où elle a été commise, ne constituait pas une infraction d'après le droit national ou international. Il n'est infligé aucune peine plus forte que celle qui était applicable au moment où l'infraction a été commise. Nulle infraction ne peut être punie d'une peine qui n'était pas prévue par la loi publiée avant qu'elle ne soit commise.",fr
10,Ingingo ya 4: Ikoreshwa ry'amategeko ahana,"Amategeko ahana agomba gufatwa uko ateye, ntashobora gukoreshwa ku buryo butandukira. Inkiko zibujijwe guca imanza ku buryo bugenekereje.",rw
